,precision,recall,f1-score,support
basophil,0.7205882352941176,0.4016393442622951,0.5157894736842105,244.0
eosinophil,0.9162717219589257,0.9294871794871795,0.9228321400159109,624.0
erythroblast,0.8150470219435737,0.8360128617363344,0.8253968253968254,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.5444887118193891,0.7081174438687392,0.6156156156156156,579.0
lymphocyte,0.7937219730941704,0.7283950617283951,0.759656652360515,243.0
monocyte,0.5904761904761905,0.43661971830985913,0.5020242914979758,284.0
neutrophil,0.8962962962962963,0.9084084084084084,0.9023117076808351,666.0
platelet,0.9957627118644068,1.0,0.9978768577494692,470.0
accuracy,0.7962584039754458,0.7962584039754458,0.7962584039754458,0.7962584039754458
macro avg,0.7840816078433837,0.7435850022251513,0.7551879455001698,3421.0
weighted avg,0.80146949937116,0.7962584039754458,0.7927368976484791,3421.0
