,precision,recall,f1-score,support
basophil,0.6118143459915611,0.5942622950819673,0.6029106029106029,244.0
eosinophil,0.9307432432432432,0.8830128205128205,0.90625,624.0
erythroblast,0.8481012658227848,0.8617363344051447,0.8548644338118023,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.6354679802955665,0.6683937823834197,0.6515151515151516,579.0
lymphocyte,0.8530805687203792,0.7407407407407407,0.7929515418502202,243.0
monocyte,0.6640926640926641,0.6056338028169014,0.6335174953959484,284.0
neutrophil,0.8236914600550964,0.8978978978978979,0.8591954022988506,666.0
platelet,0.9957537154989384,0.997872340425532,0.9968119022316685,470.0
accuracy,0.8097047646886876,0.8097047646886876,0.8097047646886876,0.8097047646886876
macro avg,0.7953431554650292,0.781193751783053,0.7872520662517806,3421.0
weighted avg,0.8109458029670586,0.8097047646886876,0.8094218719950019,3421.0
