,precision,recall,f1-score,support
basophil,0.6650717703349283,0.569672131147541,0.6136865342163356,244.0
eosinophil,0.9450726978998385,0.9375,0.9412711182622687,624.0
erythroblast,0.8938356164383562,0.8392282958199357,0.8656716417910448,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.5745296671490593,0.6856649395509499,0.6251968503937007,579.0
lymphocyte,0.7890625,0.831275720164609,0.8096192384769539,243.0
monocyte,0.6666666666666666,0.4647887323943662,0.5477178423236515,284.0
neutrophil,0.8970588235294118,0.9159159159159159,0.9063893016344725,666.0
platelet,0.9873949579831933,1.0,0.9936575052854123,470.0
accuracy,0.8173048816135633,0.8173048816135633,0.8173048816135633,0.8173048816135633
macro avg,0.8023365875001818,0.7805057168741647,0.78790125404798,3421.0
weighted avg,0.8200031444018937,0.8173048816135633,0.8159220092551677,3421.0
