,precision,recall,f1-score,support
basophil,0.6923076923076923,0.7008196721311475,0.6965376782077393,244.0
eosinophil,0.9567307692307693,0.9567307692307693,0.9567307692307693,624.0
erythroblast,0.9384057971014492,0.8327974276527331,0.8824531516183987,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.7302977232924693,0.7202072538860104,0.7252173913043478,579.0
lymphocyte,0.8666666666666667,0.8559670781893004,0.8612836438923395,243.0
monocyte,0.7124183006535948,0.7676056338028169,0.7389830508474577,284.0
neutrophil,0.910948905109489,0.9369369369369369,0.9237601776461879,666.0
platelet,0.9936440677966102,0.997872340425532,0.9957537154989385,470.0
accuracy,0.8661210172464192,0.8661210172464192,0.8661210172464192,0.8661210172464192
macro avg,0.8501774902698427,0.8461171390319059,0.8475899472807724,3421.0
weighted avg,0.8673607546509543,0.8661210172464192,0.8663228967274501,3421.0
