,precision,recall,f1-score,support
basophil,0.6908396946564885,0.7418032786885246,0.7154150197628459,244.0
eosinophil,0.9472,0.9487179487179487,0.9479583666933546,624.0
erythroblast,0.8827586206896552,0.8231511254019293,0.8519134775374375,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.7281191806331471,0.6753022452504318,0.7007168458781362,579.0
lymphocyte,0.8210116731517509,0.8683127572016461,0.8440000000000001,243.0
monocyte,0.7316176470588235,0.7007042253521126,0.7158273381294963,284.0
neutrophil,0.8896746817538896,0.9444444444444444,0.9162418062636563,666.0
platelet,0.9957537154989384,0.997872340425532,0.9968119022316685,470.0
accuracy,0.8558900906167787,0.8558900906167787,0.8558900906167787,0.8558900906167787
macro avg,0.8358719016803366,0.8375385456853213,0.8361105945620744,3421.0
weighted avg,0.8545891420024645,0.8558900906167787,0.8546778813112037,3421.0
