,precision,recall,f1-score,support
basophil,0.7866666666666666,0.7254098360655737,0.7547974413646056,244.0
eosinophil,0.9506369426751592,0.9567307692307693,0.9536741214057508,624.0
erythroblast,0.8884892086330936,0.7942122186495176,0.8387096774193548,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.6987179487179487,0.7530224525043178,0.7248545303408146,579.0
lymphocyte,0.8488372093023255,0.9012345679012346,0.874251497005988,243.0
monocyte,0.776255707762557,0.5985915492957746,0.6759443339960238,284.0
neutrophil,0.8840782122905028,0.9504504504504504,0.9160636758321273,666.0
platelet,0.985200845665962,0.9914893617021276,0.9883351007423118,470.0
accuracy,0.8608593978368898,0.8608593978368898,0.8608593978368898,0.8608593978368898
macro avg,0.852360342714277,0.8338926507249707,0.8408287972633721,3421.0
weighted avg,0.8607385281502656,0.8608593978368898,0.8590528852017867,3421.0
