,precision,recall,f1-score,support
basophil,0.5591054313099042,0.7172131147540983,0.6283662477558348,244.0
eosinophil,0.9469453376205788,0.9439102564102564,0.9454253611556982,624.0
erythroblast,0.8603896103896104,0.8520900321543409,0.8562197092084006,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.6480769230769231,0.5820379965457686,0.6132848043676069,579.0
lymphocyte,0.7875,0.7777777777777778,0.782608695652174,243.0
monocyte,0.6738351254480287,0.6619718309859155,0.6678507992895204,284.0
neutrophil,0.9006024096385542,0.8978978978978979,0.899248120300752,666.0
platelet,0.9873684210526316,0.997872340425532,0.9925925925925926,470.0
accuracy,0.8213972522654195,0.8213972522654195,0.8213972522654195,0.8213972522654195
macro avg,0.7954779073170288,0.8038464058689484,0.7981995412903224,3421.0
weighted avg,0.8233643266731422,0.8213972522654195,0.8213692861113001,3421.0
