,precision,recall,f1-score,support
basophil,0.6340579710144928,0.7172131147540983,0.6730769230769231,244.0
eosinophil,0.9391025641025641,0.9391025641025641,0.939102564102564,624.0
erythroblast,0.8625,0.887459807073955,0.8748019017432647,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.6382252559726962,0.6459412780656304,0.6420600858369099,579.0
lymphocyte,0.8340080971659919,0.8477366255144033,0.8408163265306122,243.0
monocyte,0.7030567685589519,0.5669014084507042,0.6276803118908383,284.0
neutrophil,0.9001490312965723,0.9069069069069069,0.9035153328347045,666.0
platelet,0.9914529914529915,0.9872340425531915,0.9893390191897654,470.0
accuracy,0.8319204910844782,0.8319204910844782,0.8319204910844782,0.8319204910844782
macro avg,0.8128190849455326,0.8123119684276817,0.8112990581506978,3421.0
weighted avg,0.8320065240702219,0.8319204910844782,0.8311479324710713,3421.0
